date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:14:58	102283/102283	---MCZ	200	added ('OK')	text/html	etag:W/%22c86874-18f8b-55e2da9b52456%22	http://alpinab2b.tilda.ws/printshop_overview	C:/My%20Web%20Sites/fff/alpinab2b.tilda.ws/printshop_overview.html	(from )
17:14:58	96/96	---M--	200	added ('OK')	text/plain	etag:%22c81fde-60-55e2d5be538ab%22	http://alpinab2b.tilda.ws/robots.txt		(from )
17:14:59	4112/4112	---M-Z	200	added ('OK')	text/css	etag:%22ca71b00159f4bdb6a919d7a8bbcbd949%22	http://static.tildacdn.com/css/tilda-grid-3.0.min.css	C:/My%20Web%20Sites/fff/static.tildacdn.com/css/tilda-grid-3.0.min.css	(from http://alpinab2b.tilda.ws/printshop_overview)
17:15:00	2221/2221	---M-Z	200	added ('OK')	text/css	etag:%222ce4e493e9887508281bc4a4ae4d7afa%22	http://static.tildacdn.com/css/tilda-animation-1.0.min.css	C:/My%20Web%20Sites/fff/static.tildacdn.com/css/tilda-animation-1.0.min.css	(from http://alpinab2b.tilda.ws/printshop_overview)
17:15:00	52753/52753	---MCZ	200	added ('OK')	text/css	date:Fri,%2017%20Nov%202017%2013:24:57%20GMT	http://tilda.ws/project59029/tilda-blocks-2.12.css?t=1510925086	C:/My%20Web%20Sites/fff/tilda.ws/project59029/tilda-blocks-2.126d8e.css	(from http://alpinab2b.tilda.ws/printshop_overview)
17:15:00	8218/8218	---M-Z	200	added ('OK')	text/css	etag:%227f359a7d236eae871a815e817fb0e5c9%22	http://static.tildacdn.com/css/tilda-slds-1.4.min.css	C:/My%20Web%20Sites/fff/static.tildacdn.com/css/tilda-slds-1.4.min.css	(from http://alpinab2b.tilda.ws/printshop_overview)
17:15:00	3491/3491	---M-Z	200	added ('OK')	text/css	etag:%22366a1933cfe6ff1dfc0296bf0babc7b1%22	http://static.tildacdn.com/css/tilda-zoom-2.0.min.css	C:/My%20Web%20Sites/fff/static.tildacdn.com/css/tilda-zoom-2.0.min.css	(from http://alpinab2b.tilda.ws/printshop_overview)
17:15:04	21759/21759	---MCZ	200	added ('OK')	application/x-javascript	date:Fri,%2017%20Nov%202017%2013:24:57%20GMT	http://tilda.ws/project59029/tilda-blocks-2.7.js?t=1510925086	C:/My%20Web%20Sites/fff/tilda.ws/project59029/tilda-blocks-2.76d8e.js	(from http://alpinab2b.tilda.ws/printshop_overview)
17:15:06	12974/12974	---M--	200	added ('OK')	text/javascript	etag:%22ea0630538a1ed2d8333d4a4b054b3aa6%22	http://static.tildacdn.com/js/tilda-animation-1.0.min.js	C:/My%20Web%20Sites/fff/static.tildacdn.com/js/tilda-animation-1.0.min.js	(from http://alpinab2b.tilda.ws/printshop_overview)
17:15:07	13476/13476	---M-Z	200	added ('OK')	application/javascript	etag:%22a28f10e9fb00914954f15785638b37bf%22	http://static.tildacdn.com/js/tilda-slds-1.4.min.js	C:/My%20Web%20Sites/fff/static.tildacdn.com/js/tilda-slds-1.4.min.js	(from http://alpinab2b.tilda.ws/printshop_overview)
17:15:07	93064/93064	---M-Z	200	added ('OK')	application/javascript	etag:%22bdce12c949e78d570c8d44e9c2b23508%22	http://static.tildacdn.com/js/jquery-1.10.2.min.js	C:/My%20Web%20Sites/fff/static.tildacdn.com/js/jquery-1.10.2.min.js	(from http://alpinab2b.tilda.ws/printshop_overview)
17:15:07	39491/39491	---M--	200	added ('OK')	text/javascript	etag:%221655597871a25f98387aa56f3ba96bf4%22	http://static.tildacdn.com/js/tilda-scripts-2.8.min.js	C:/My%20Web%20Sites/fff/static.tildacdn.com/js/tilda-scripts-2.8.min.js	(from http://alpinab2b.tilda.ws/printshop_overview)
17:15:08	1693/1693	---M-Z	200	added ('OK')	application/javascript	etag:%223ff640e7b78f60ebe6045bcb732b5f0d%22	http://static.tildacdn.com/js/tilda-products-1.0.min.js	C:/My%20Web%20Sites/fff/static.tildacdn.com/js/tilda-products-1.0.min.js	(from http://alpinab2b.tilda.ws/printshop_overview)
17:15:08	5284/5284	---M-Z	200	added ('OK')	application/javascript	etag:%228610d9dc19489fe3c3f8f0a69200d306%22	http://static.tildacdn.com/js/tilda-zoom-2.0.min.js	C:/My%20Web%20Sites/fff/static.tildacdn.com/js/tilda-zoom-2.0.min.js	(from http://alpinab2b.tilda.ws/printshop_overview)
17:15:09	6798/6798	---M-Z	200	added ('OK')	application/javascript	etag:%22f3adf756d5ac247fee208e37162d0409%22	http://static.tildacdn.com/js/lazyload-1.3.min.js	C:/My%20Web%20Sites/fff/static.tildacdn.com/js/lazyload-1.3.min.js	(from http://alpinab2b.tilda.ws/printshop_overview)
17:15:09	742/742	---M--	200	added ('OK')	image/png	date:Wed,%2022%20Nov%202017%2014:15:09%20GMT	https://static.tildacdn.com/tild6637-3665-4630-b333-373239303637/-/resize/20x/noroot.png	C:/My%20Web%20Sites/fff/static.tildacdn.com/tild6637-3665-4630-b333-373239303637/-/resize/20x/noroot.png	(from http://alpinab2b.tilda.ws/printshop_overview)
17:15:09	1766310/1766310	---M--	200	added ('OK')	image/png	etag:%22e9c7886a15f90a1ac5489a31df933d3e%22	https://static.tildacdn.com/tild6637-3665-4630-b333-373239303637/noroot.png	C:/My%20Web%20Sites/fff/static.tildacdn.com/tild6637-3665-4630-b333-373239303637/noroot.png	(from http://alpinab2b.tilda.ws/printshop_overview)
17:15:10	13104/13104	---M--	200	added ('OK')	image/jpeg	etag:%229b22366a2b9b7ba7347b7366dd379e9a%22	https://static.tildacdn.com/tild3934-6134-4235-b934-373236616539/Headshot2.jpg	C:/My%20Web%20Sites/fff/static.tildacdn.com/tild3934-6134-4235-b934-373236616539/Headshot2.jpg	(from http://alpinab2b.tilda.ws/printshop_overview)
